INDULGENCES + WORLDS,MOODS,MIND + BODY,IDENTITY,POLITICS + PHILSOPHIES,LOVE,PROFESSIONS
culinary cuisine = food,grief,trauma,interracial = race*,apartheid,sex,Physician = doctor
partying party = parties,violence,disease,yuppie,urbanization,"""forbidden love""",Teacher
fashion,ennui,alcohol,student,dystopic,lust,Lawyer
film,redemption,cancer,bohemian,socialism,provocative,Accountant
art,regret,rape,immigrant,capitalism,cheating unfaithful adultery adulterous affair = infidelity,Engineer
literature,nostalgic = nostalgia,consciousness,masculinity,economics,heartbreak = love*,Pharmacist
music,paranoia,suicide,femininity,globalization,husband wife = marriage,Technician
travel,happiness,addiction,intellectual,consumerism,divorce = marriage*,Electrician
glamour,sadness,depression,refugee,environment,,"""Police officer"""
pot marijuana weed LSD acid psychedelic heroin = drugs*,beautiful,AIDS = HIV/AIDS,pedophile,modernization,,Veterinarian
tech = technology,isolation loneliness = solitude*,HIV = HIV/AIDS,orphan,conspiracy,,Dietitian
internet = technology*,memory ,dying = death = mortality*,childhood,millennial,,Surveyor
university = college,transcendence = liberation*,"""old age"" = aging","""loss of innocence""",independence,,"""Software Developer"""
college = school = campus = education*,loss,pregnant = pregnancy ,punk,crime,,Dentist
"yale princeton harvard columbia brown darthmouth = ""Ivy League""* ",apathy,sick sickness = illness,twin,"""artificial intelligence""",,Scientist
"mysticism shaman occult = ""New Age""*",lust,blind = blindness,caste,utopic = uptopia,,Firefighter
office corporate  = career*,fear,,wealth,political = politics,,Midwife
hippie = counterculture*,longing,,poverty = wealth*,moral ethic ethics morals ethical = morality,,Architect = architecture*
athletics = sports,,,entrepreneur = business*,psychological = psychology,,Surgeon
baseball football basketball tennis volleyball soccer = sports*,,,"mother father brother sister daughter husband wife marriage divorce son ""family saga"" = family*",philosophical = philosophy,,Waiter
labor,,,friend = friendship,"""September 11"" = terrorism*",,Psychologist
farm,,,"""working class"" = ""blue collar""",9/11 = September 11,,Librarian
,,,"""coming of age"" adolescence childhood ""salad days"" = youth*",terrorist = terrorism*,,Chef
,,,child = childhood,"""serial killer"" = murder*",,Laborer
,,,"""social status"" = ""social class""",soldier military = war*,,Plumber
,,,LGBTQ = sexuality*,"""World War I""",,Artist
,,,lesbian gay transgender queer bisexual = LGBTQ* ,"""World War II""",,Physiotherapist
,,,expatriate = expat,"""Vietnam War""",,Mechanic
,,,"girl  girlhood = ""female experience""*",postwar,,Secretary
,,,"boy  boyhood = ""male experience""*",anti-war = antiwar,,Broker
,,,dog = animal*,"freedom ""free will"" = free*",,Agriculturist
,,,"""young woman""",lawyer = law*,,"""Real Estate Broker"""
,,,"""young man""",colonial colonization = colonialism,,Athlete
,,,doctor = medicine*,"""post independence"" ""post partition"" = ""post colonial""*",,Hairdresser
,,,lawyer = law*,communist = communism*,,Journalist
,,,nerd,God = religion*,,Cashier
,,,chef ,Brexit,,Butcher
,,,police,Holocaust,,Consultant
,,,prostitute = prositution*,injustice,,Actor
,,,,racist = racism*,,Designer
,,,,supremacy ,,Bartender
,,,,racial = race,,Cleaner
,,,,"""American Dream""",,Tailor
,,,,math = mathematics*,,Author
,,,,epidemic,,athlete = sports*
,,,,stoicism,,
,,,,existentialist = existentialism,,
,,,,sociology = sociological ,,
,,,,heaven hell = afterlife*,,